000,----,--,--,--,city                 ,latitude   ,longitude   ,studieverblijf,standplaats,zonder verankering,kort verblijf
273,----,ZA,EC,--,Loja                 ,-          ,-           ,-,-,-,Tina Kyndt
274,---¶,AF,--,--,AFRIKA               ,-          ,-           ,-,1,-,5
275,--¶¶,AF,CD,--,D.R. CONGO           ,-          ,-           ,-,-,-,1
276,-¶¶¶,AF,CD,--,KISANGANI            ,0.516667   ,25.2        ,-,-,-,1
277,----,AF,CD,--,Kisangani            ,-          ,-           ,-,-,-,Tine Huyse
278,--¶¶,AF,CM,--,KAMEROEN             ,-          ,-           ,-,-,-,1
279,-¶¶¶,AF,CM,--,BUÉA                 ,4.166667   ,9.233333    ,-,-,-,1
280,----,AF,CM,--,Buéa                 ,-          ,-           ,-,-,-,Goedele De Clerck
281,--¶¶,AF,SN,--,SENEGAL              ,-          ,-           ,-,-,-,1
282,-¶¶¶,AF,SN,--,RICHARD TOLL         ,16.466667  ,-15.683333  ,-,-,-,1
283,----,AF,SN,--,Richard Toll         ,-          ,-           ,-,-,-,Tine Huyse
284,--¶¶,AF,TZ,--,TANZANIË             ,-          ,-           ,-,-,-,1
285,-¶¶¶,AF,TZ,--,DAR ES SALAAM        ,-6.8       ,39.283333   ,-,-,-,1
286,----,AF,TZ,--,Dar es Salaam        ,-          ,-           ,-,-,-,Noël Salazar
287,--¶¶,AF,UG,--,UGANDA               ,-          ,-           ,-,-,-,1
288,-¶¶¶,AF,UG,--,KAMPALA              ,0.313611   ,32.581111   ,-,-,-,1
289,----,AF,UG,--,Kampala              ,-          ,-           ,-,-,-,Goedele De Clerck
290,--¶¶,AF,ZA,--,ZUID-AFRIKA          ,-          ,-           ,-,1,-,-
291,-¶¶¶,AF,ZA,--,BLOEMFONTEIN         ,-29.116667 ,26.216667   ,-,1,-,-
292,----,AF,ZA,--,Bloemfontein         ,-          ,-           ,-,Simon De Meyer,-,-
293,---¶,AZ,--,--,AZIË                 ,-          ,-           ,-,1,-,5
294,--¶¶,AZ,IN,--,INDIË                ,-          ,-           ,-,-,-,2
295,-¶¶¶,AZ,IN,--,WESTERN GHATS        ,34.048928  ,-111.093731 ,-,-,-,2
296,----,AZ,IN,--,Western Ghats        ,-          ,-           ,-,-,-,Koen De Temmerman
297,----,AZ,IN,--,Western Ghats        ,-          ,-           ,-,-,-,Tine Huyse
298,--¶¶,AZ,JP,--,JAPAN                ,-          ,-           ,-,1,-,1
299,-¶¶¶,AZ,JP,--,TOKYO                ,35.689488  ,139.691706  ,-,1,-,-
300,----,AZ,JP,--,Tokyo                ,-          ,-           ,-,Michaël De Volder,-,-
301,-¶¶¶,AZ,JP,--,TSUKUBA              ,36.083486  ,140.076642  ,-,-,-,1
